rank,metric,strategy_a,strategy_b,mean_a,mean_b,mean_diff_a_minus_b,t_stat,p_value,significant_p_lt_0_05
32,val_relative_mse,mlp_log_singular_values,svd_sqrt,0.08952261474911676,0.31136418676234967,-0.22184157201323287,-627.784079521288,3.862804356421511e-11,True
32,val_relative_mse,pca,random_orthogonal,0.3111175995719916,0.5598892282018053,-0.2487716286298137,-1120.204183492017,3.810308873549341e-12,True
32,val_relative_mse,pca,svd_full,0.3111175995719916,0.23797037685897132,0.07314722271302025,633.1447189951757,3.7336368362943415e-11,True
32,val_relative_mse,pca,svd_noscale,0.3111175995719916,0.38703781107778956,-0.07592021150579797,-636.049847311534,3.665890453533062e-11,True
32,val_relative_mse,pca,svd_sqrt,0.3111175995719916,0.31136418676234967,-0.00024658719035807185,-25.661132247122524,1.3698212227283658e-05,True
32,val_relative_mse,random_orthogonal,svd_full,0.5598892282018053,0.23797037685897132,0.321918851342834,2060.1082664658397,3.331120852052003e-13,True
32,val_relative_mse,random_orthogonal,svd_noscale,0.5598892282018053,0.38703781107778956,0.17285141712401575,526.2715789876804,7.821699545955669e-11,True
32,val_relative_mse,random_orthogonal,svd_sqrt,0.5598892282018053,0.31136418676234967,0.24852504143945567,1090.0387544688128,4.249922968723989e-12,True
32,val_relative_mse,svd_full,svd_noscale,0.23797037685897132,0.38703781107778956,-0.14906743421881824,-636.880505439036,3.646802888438363e-11,True
32,val_relative_mse,svd_full,svd_sqrt,0.23797037685897132,0.31136418676234967,-0.07339380990337832,-632.8842539779035,3.7397869288659763e-11,True
32,val_relative_mse,svd_noscale,svd_sqrt,0.38703781107778956,0.31136418676234967,0.0756736243154399,640.7952908987313,3.5584998613794056e-11,True
64,val_relative_mse,change_a_b,change_b,0.08928476416202033,0.08930980890894694,-2.5044746926616846e-05,-1.0474996777347434,0.3539892747207312,False
64,val_relative_mse,change_a_b,mlp_log_singular_values,0.08928476416202033,0.08404164638629918,0.005243117775721143,204.35721162738673,3.439711764306253e-09,True
64,val_relative_mse,change_a_b,pca,0.08928476416202033,0.3538776322484558,-0.26459286808643545,-566.1933332306791,5.838257063210854e-11,True
64,val_relative_mse,change_a_b,random_orthogonal,0.08928476416202033,0.5982588581883712,-0.5089740940263509,-1515.9434236084057,1.1361038123636664e-12,True
64,val_relative_mse,change_a_b,svd_full,0.08928476416202033,0.268596516268333,-0.17931175210631264,-554.5801230611829,6.342852869338941e-11,True
64,val_relative_mse,change_a_b,svd_noscale,0.08928476416202033,0.4300882127993466,-0.3408034486373263,-562.1265831124243,6.009046891001184e-11,True
64,val_relative_mse,change_a_b,svd_sqrt,0.08928476416202033,0.3531523576856347,-0.26386759352361433,-558.792549852759,6.153745754951128e-11,True
64,val_relative_mse,change_b,mlp_log_singular_values,0.08930980890894694,0.08404164638629918,0.00526816252264776,108.73711610009502,4.289386462235056e-08,True
64,val_relative_mse,change_b,pca,0.08930980890894694,0.3538776322484558,-0.26456782333950885,-567.8095438396006,5.7720690578763547e-11,True
64,val_relative_mse,change_b,random_orthogonal,0.08930980890894694,0.5982588581883712,-0.5089490492794242,-1439.2045743413116,1.398491173860157e-12,True
64,val_relative_mse,change_b,svd_full,0.08930980890894694,0.268596516268333,-0.17928670735938607,-557.6740612642842,6.203262526597724e-11,True
64,val_relative_mse,change_b,svd_noscale,0.08930980890894694,0.4300882127993466,-0.3407784038903997,-563.0295485305414,5.970591603883053e-11,True
64,val_relative_mse,change_b,svd_sqrt,0.08930980890894694,0.3531523576856347,-0.26384254877668767,-560.4354101744947,6.081906814764883e-11,True
64,val_relative_mse,mlp_log_singular_values,pca,0.08404164638629918,0.3538776322484558,-0.26983598586215657,-563.3280172668397,5.957948167614434e-11,True
64,val_relative_mse,mlp_log_singular_values,random_orthogonal,0.08404164638629918,0.5982588581883712,-0.514217211802072,-1595.153582424005,9.267019956652735e-13,True
64,val_relative_mse,mlp_log_singular_values,svd_full,0.08404164638629918,0.268596516268333,-0.18455486988203382,-549.6292004406389,6.574496154280724e-11,True
64,val_relative_mse,mlp_log_singular_values,svd_noscale,0.08404164638629918,0.4300882127993466,-0.3460465664130474,-560.5771494234837,6.07575808839383e-11,True
64,val_relative_mse,mlp_log_singular_values,svd_sqrt,0.08404164638629918,0.3531523576856347,-0.26911071129933545,-556.2074544538137,6.26894805457031e-11,True
64,val_relative_mse,pca,random_orthogonal,0.3538776322484558,0.5982588581883712,-0.2443812259399154,-492.5651771514992,1.0192588613044658e-10,True
64,val_relative_mse,pca,svd_full,0.3538776322484558,0.268596516268333,0.08528111598012278,588.6248611000573,4.9979106781564793e-11,True
64,val_relative_mse,pca,svd_noscale,0.3538776322484558,0.4300882127993466,-0.07621058055089083,-545.8630166766576,6.757823577198433e-11,True
64,val_relative_mse,pca,svd_sqrt,0.3538776322484558,0.3531523576856347,0.0007252745628211321,69.12191745808107,2.6247164951276886e-07,True
64,val_relative_mse,random_orthogonal,svd_full,0.5982588581883712,0.268596516268333,0.3296623419200382,812.8176791462791,1.3745935555275578e-11,True
64,val_relative_mse,random_orthogonal,svd_noscale,0.5982588581883712,0.4300882127993466,0.16817064538902457,279.5131131696679,9.828911923420246e-10,True
64,val_relative_mse,random_orthogonal,svd_sqrt,0.5982588581883712,0.3531523576856347,0.24510650050273655,489.9323350589483,1.0413453324693144e-10,True
64,val_relative_mse,svd_full,svd_noscale,0.268596516268333,0.4300882127993466,-0.16149169653101364,-568.6297254725563,5.738839253956845e-11,True
64,val_relative_mse,svd_full,svd_sqrt,0.268596516268333,0.3531523576856347,-0.08455584141730164,-566.1269573748945,5.84099555449802e-11,True
64,val_relative_mse,svd_noscale,svd_sqrt,0.4300882127993466,0.3531523576856347,0.07693585511371197,571.0914296446905,5.640528553468242e-11,True
